sample	individual	environment	site
s_158721788_SUPP	s_158721788	ORAL_CAVITY	SUPP
s_158721788_SV	s_158721788	ORAL_CAVITY	SV
s_158721788_TD	s_158721788	ORAL_CAVITY	TD
s_158721788_TH	s_158721788	ORAL_CAVITY	TH
s_158802708_BM	s_158802708	ORAL_CAVITY	BM
s_158802708_HP	s_158802708	ORAL_CAVITY	HP
s_158802708_KG	s_158802708	ORAL_CAVITY	KG
s_158802708_PT	s_158802708	ORAL_CAVITY	PT
s_158802708_ST	s_158802708	GUT	ST
s_158802708_SUBP	s_158802708	ORAL_CAVITY	SUBP
s_158802708_SUPP	s_158802708	ORAL_CAVITY	SUPP
s_158802708_SV	s_158802708	ORAL_CAVITY	SV
s_158802708_TD	s_158802708	ORAL_CAVITY	TD
s_158802708_TH	s_158802708	ORAL_CAVITY	TH
s_158822939_BM	s_158822939	ORAL_CAVITY	BM
s_158822939_HP	s_158822939	ORAL_CAVITY	HP
s_158822939_KG	s_158822939	ORAL_CAVITY	KG
s_158822939_PT	s_158822939	ORAL_CAVITY	PT
s_158822939_ST	s_158822939	GUT	ST
s_158822939_SUBP	s_158822939	ORAL_CAVITY	SUBP
s_158822939_SUPP	s_158822939	ORAL_CAVITY	SUPP
s_158822939_SV	s_158822939	ORAL_CAVITY	SV
s_158822939_TD	s_158822939	ORAL_CAVITY	TD
s_158822939_TH	s_158822939	ORAL_CAVITY	TH
s_158924089_BM	s_158924089	ORAL_CAVITY	BM
s_158924089_HP	s_158924089	ORAL_CAVITY	HP
s_158924089_KG	s_158924089	ORAL_CAVITY	KG
s_158924089_PT	s_158924089	ORAL_CAVITY	PT
s_158924089_ST	s_158924089	GUT	ST
s_158924089_SUBP	s_158924089	ORAL_CAVITY	SUBP
s_158924089_SUPP	s_158924089	ORAL_CAVITY	SUPP
s_158924089_SV	s_158924089	ORAL_CAVITY	SV
s_158924089_TD	s_158924089	ORAL_CAVITY	TD
s_158924089_TH	s_158924089	ORAL_CAVITY	TH
s_158944319_BM	s_158944319	ORAL_CAVITY	BM
s_158944319_HP	s_158944319	ORAL_CAVITY	HP
s_158944319_KG	s_158944319	ORAL_CAVITY	KG
s_158944319_PT	s_158944319	ORAL_CAVITY	PT
s_158944319_ST	s_158944319	GUT	ST
s_158944319_SUBP	s_158944319	ORAL_CAVITY	SUBP
s_158944319_SUPP	s_158944319	ORAL_CAVITY	SUPP
s_158944319_SV	s_158944319	ORAL_CAVITY	SV
s_158944319_TD	s_158944319	ORAL_CAVITY	TD
s_158944319_TH	s_158944319	ORAL_CAVITY	TH
s_158964549_BM	s_158964549	ORAL_CAVITY	BM
s_158964549_HP	s_158964549	ORAL_CAVITY	HP
s_158964549_KG	s_158964549	ORAL_CAVITY	KG
s_158964549_PT	s_158964549	ORAL_CAVITY	PT
s_158964549_ST	s_158964549	GUT	ST
s_158964549_SUBP	s_158964549	ORAL_CAVITY	SUBP
s_158964549_SUPP	s_158964549	ORAL_CAVITY	SUPP
s_158964549_SV	s_158964549	ORAL_CAVITY	SV
s_158964549_TD	s_158964549	ORAL_CAVITY	TD
s_158964549_TH	s_158964549	ORAL_CAVITY	TH
s_159005010_BM	s_159005010	ORAL_CAVITY	BM
s_159005010_HP	s_159005010	ORAL_CAVITY	HP
s_159005010_KG	s_159005010	ORAL_CAVITY	KG
s_159005010_PT	s_159005010	ORAL_CAVITY	PT
s_159005010_ST	s_159005010	GUT	ST
s_159005010_SUBP	s_159005010	ORAL_CAVITY	SUBP
s_159005010_SUPP	s_159005010	ORAL_CAVITY	SUPP
s_159005010_SV	s_159005010	ORAL_CAVITY	SV
s_159005010_TD	s_159005010	ORAL_CAVITY	TD
s_159005010_TH	s_159005010	ORAL_CAVITY	TH
s_159146620_BM	s_159146620	ORAL_CAVITY	BM
s_159146620_HP	s_159146620	ORAL_CAVITY	HP
s_159146620_KG	s_159146620	ORAL_CAVITY	KG
s_159146620_PT	s_159146620	ORAL_CAVITY	PT
s_159146620_ST	s_159146620	GUT	ST
s_159146620_SUBP	s_159146620	ORAL_CAVITY	SUBP
s_159146620_SUPP	s_159146620	ORAL_CAVITY	SUPP
s_159146620_SV	s_159146620	ORAL_CAVITY	SV
s_159146620_TD	s_159146620	ORAL_CAVITY	TD
s_159146620_TH	s_159146620	ORAL_CAVITY	TH
s_159207311_BM	s_159207311	ORAL_CAVITY	BM
s_159207311_HP	s_159207311	ORAL_CAVITY	HP
s_159207311_KG	s_159207311	ORAL_CAVITY	KG
s_159207311_PT	s_159207311	ORAL_CAVITY	PT
s_159207311_ST	s_159207311	GUT	ST
s_159207311_SUBP	s_159207311	ORAL_CAVITY	SUBP
s_159207311_SUPP	s_159207311	ORAL_CAVITY	SUPP
s_159207311_SV	s_159207311	ORAL_CAVITY	SV
s_159207311_TD	s_159207311	ORAL_CAVITY	TD
s_159207311_TH	s_159207311	ORAL_CAVITY	TH
s_159227541_BM	s_159227541	ORAL_CAVITY	BM
s_159227541_HP	s_159227541	ORAL_CAVITY	HP
s_159227541_KG	s_159227541	ORAL_CAVITY	KG
s_159227541_PT	s_159227541	ORAL_CAVITY	PT
s_159227541_ST	s_159227541	GUT	ST
s_159227541_SUBP	s_159227541	ORAL_CAVITY	SUBP
s_159227541_SUPP	s_159227541	ORAL_CAVITY	SUPP
s_159227541_SV	s_159227541	ORAL_CAVITY	SV
s_159227541_TD	s_159227541	ORAL_CAVITY	TD
s_159227541_TH	s_159227541	ORAL_CAVITY	TH
s_159247771_BM	s_159247771	ORAL_CAVITY	BM
s_159247771_HP	s_159247771	ORAL_CAVITY	HP
s_159247771_KG	s_159247771	ORAL_CAVITY	KG
s_159247771_PT	s_159247771	ORAL_CAVITY	PT
s_159247771_ST	s_159247771	GUT	ST
s_159247771_SUBP	s_159247771	ORAL_CAVITY	SUBP
s_159247771_SUPP	s_159247771	ORAL_CAVITY	SUPP
s_159247771_SV	s_159247771	ORAL_CAVITY	SV
s_159247771_TD	s_159247771	ORAL_CAVITY	TD
s_159247771_TH	s_159247771	ORAL_CAVITY	TH
s_159268001_BM	s_159268001	ORAL_CAVITY	BM
s_159268001_HP	s_159268001	ORAL_CAVITY	HP
s_159268001_KG	s_159268001	ORAL_CAVITY	KG
s_159268001_PT	s_159268001	ORAL_CAVITY	PT
s_159268001_ST	s_159268001	GUT	ST
s_159268001_SUBP	s_159268001	ORAL_CAVITY	SUBP
s_159268001_SUPP	s_159268001	ORAL_CAVITY	SUPP
s_159268001_SV	s_159268001	ORAL_CAVITY	SV
s_159268001_TD	s_159268001	ORAL_CAVITY	TD
s_159268001_TH	s_159268001	ORAL_CAVITY	TH
s_159288231_BM	s_159288231	ORAL_CAVITY	BM
s_159288231_HP	s_159288231	ORAL_CAVITY	HP
s_159288231_KG	s_159288231	ORAL_CAVITY	KG
s_159288231_PT	s_159288231	ORAL_CAVITY	PT
s_159288231_ST	s_159288231	GUT	ST
s_159288231_SUBP	s_159288231	ORAL_CAVITY	SUBP
s_159288231_SUPP	s_159288231	ORAL_CAVITY	SUPP
s_159288231_SV	s_159288231	ORAL_CAVITY	SV
s_159288231_TD	s_159288231	ORAL_CAVITY	TD
s_159288231_TH	s_159288231	ORAL_CAVITY	TH
s_159308461_BM	s_159308461	ORAL_CAVITY	BM
s_159308461_HP	s_159308461	ORAL_CAVITY	HP
s_159308461_KG	s_159308461	ORAL_CAVITY	KG
s_159308461_PT	s_159308461	ORAL_CAVITY	PT
s_159308461_ST	s_159308461	GUT	ST
s_159308461_SUBP	s_159308461	ORAL_CAVITY	SUBP
s_159308461_SUPP	s_159308461	ORAL_CAVITY	SUPP
s_159308461_SV	s_159308461	ORAL_CAVITY	SV
s_159308461_TD	s_159308461	ORAL_CAVITY	TD
s_159308461_TH	s_159308461	ORAL_CAVITY	TH
s_159328691_BM	s_159328691	ORAL_CAVITY	BM
s_159328691_HP	s_159328691	ORAL_CAVITY	HP
s_159328691_KG	s_159328691	ORAL_CAVITY	KG
s_159328691_PT	s_159328691	ORAL_CAVITY	PT
s_159328691_ST	s_159328691	GUT	ST
s_159328691_SUBP	s_159328691	ORAL_CAVITY	SUBP
s_159328691_SUPP	s_159328691	ORAL_CAVITY	SUPP
s_159328691_SV	s_159328691	ORAL_CAVITY	SV
s_159328691_TD	s_159328691	ORAL_CAVITY	TD
s_159328691_TH	s_159328691	ORAL_CAVITY	TH
s_159369152_BM	s_159369152	ORAL_CAVITY	BM
s_159369152_HP	s_159369152	ORAL_CAVITY	HP
s_159369152_KG	s_159369152	ORAL_CAVITY	KG
s_159369152_PT	s_159369152	ORAL_CAVITY	PT
s_159369152_ST	s_159369152	GUT	ST
s_159369152_SUBP	s_159369152	ORAL_CAVITY	SUBP
s_159369152_SUPP	s_159369152	ORAL_CAVITY	SUPP
s_159369152_SV	s_159369152	ORAL_CAVITY	SV
s_159369152_TD	s_159369152	ORAL_CAVITY	TD
s_159369152_TH	s_159369152	ORAL_CAVITY	TH
s_159389382_BM	s_159389382	ORAL_CAVITY	BM
s_159389382_HP	s_159389382	ORAL_CAVITY	HP
s_159389382_KG	s_159389382	ORAL_CAVITY	KG
s_159389382_PT	s_159389382	ORAL_CAVITY	PT
s_159389382_ST	s_159389382	GUT	ST
s_159389382_SUBP	s_159389382	ORAL_CAVITY	SUBP
s_159389382_SUPP	s_159389382	ORAL_CAVITY	SUPP
s_159389382_SV	s_159389382	ORAL_CAVITY	SV
s_159389382_TD	s_159389382	ORAL_CAVITY	TD
s_159389382_TH	s_159389382	ORAL_CAVITY	TH
s_159429842_BM	s_159429842	ORAL_CAVITY	BM
s_159429842_HP	s_159429842	ORAL_CAVITY	HP
s_159429842_KG	s_159429842	ORAL_CAVITY	KG
s_159429842_PT	s_159429842	ORAL_CAVITY	PT
s_159429842_ST	s_159429842	GUT	ST
s_159429842_SUBP	s_159429842	ORAL_CAVITY	SUBP
s_159429842_SUPP	s_159429842	ORAL_CAVITY	SUPP
s_159429842_SV	s_159429842	ORAL_CAVITY	SV
s_159429842_TD	s_159429842	ORAL_CAVITY	TD
s_159429842_TH	s_159429842	ORAL_CAVITY	TH
s_159450072_BM	s_159450072	ORAL_CAVITY	BM
s_159450072_HP	s_159450072	ORAL_CAVITY	HP
s_159450072_KG	s_159450072	ORAL_CAVITY	KG
s_159450072_PT	s_159450072	ORAL_CAVITY	PT
s_159450072_ST	s_159450072	GUT	ST
s_159450072_SUBP	s_159450072	ORAL_CAVITY	SUBP
s_159450072_SUPP	s_159450072	ORAL_CAVITY	SUPP
s_159450072_SV	s_159450072	ORAL_CAVITY	SV
s_159450072_TD	s_159450072	ORAL_CAVITY	TD
s_159450072_TH	s_159450072	ORAL_CAVITY	TH
s_159470302_BM	s_159470302	ORAL_CAVITY	BM
s_159470302_HP	s_159470302	ORAL_CAVITY	HP
s_159470302_KG	s_159470302	ORAL_CAVITY	KG
s_159470302_PT	s_159470302	ORAL_CAVITY	PT
s_159470302_SUBP	s_159470302	ORAL_CAVITY	SUBP
s_159470302_SUPP	s_159470302	ORAL_CAVITY	SUPP
s_159470302_SV	s_159470302	ORAL_CAVITY	SV
s_159470302_TD	s_159470302	ORAL_CAVITY	TD
s_159470302_TH	s_159470302	ORAL_CAVITY	TH
s_159490532_BM	s_159490532	ORAL_CAVITY	BM
s_159490532_HP	s_159490532	ORAL_CAVITY	HP
s_159490532_KG	s_159490532	ORAL_CAVITY	KG
s_159490532_PT	s_159490532	ORAL_CAVITY	PT
s_159490532_ST	s_159490532	GUT	ST
s_159490532_SUBP	s_159490532	ORAL_CAVITY	SUBP
s_159490532_SUPP	s_159490532	ORAL_CAVITY	SUPP
s_159490532_SV	s_159490532	ORAL_CAVITY	SV
s_159490532_TD	s_159490532	ORAL_CAVITY	TD
s_159490532_TH	s_159490532	ORAL_CAVITY	TH
s_159510762_BM	s_159510762	ORAL_CAVITY	BM
s_159510762_HP	s_159510762	ORAL_CAVITY	HP
s_159510762_KG	s_159510762	ORAL_CAVITY	KG
s_159510762_PT	s_159510762	ORAL_CAVITY	PT
s_159510762_ST	s_159510762	GUT	ST
s_159510762_SUBP	s_159510762	ORAL_CAVITY	SUBP
s_159510762_SUPP	s_159510762	ORAL_CAVITY	SUPP
s_159510762_SV	s_159510762	ORAL_CAVITY	SV
s_159510762_TD	s_159510762	ORAL_CAVITY	TD
s_159510762_TH	s_159510762	ORAL_CAVITY	TH
s_159551223_BM	s_159551223	ORAL_CAVITY	BM
s_159551223_HP	s_159551223	ORAL_CAVITY	HP
s_159551223_KG	s_159551223	ORAL_CAVITY	KG
s_159551223_PT	s_159551223	ORAL_CAVITY	PT
s_159551223_ST	s_159551223	GUT	ST
s_159551223_SUBP	s_159551223	ORAL_CAVITY	SUBP
s_159551223_SUPP	s_159551223	ORAL_CAVITY	SUPP
s_159551223_SV	s_159551223	ORAL_CAVITY	SV
s_159551223_TD	s_159551223	ORAL_CAVITY	TD
s_159551223_TH	s_159551223	ORAL_CAVITY	TH
s_159571453_BM	s_159571453	ORAL_CAVITY	BM
s_159571453_HP	s_159571453	ORAL_CAVITY	HP
s_159571453_KG	s_159571453	ORAL_CAVITY	KG
s_159571453_PT	s_159571453	ORAL_CAVITY	PT
s_159571453_ST	s_159571453	GUT	ST
s_159571453_SUBP	s_159571453	ORAL_CAVITY	SUBP
s_159571453_SUPP	s_159571453	ORAL_CAVITY	SUPP
s_159571453_SV	s_159571453	ORAL_CAVITY	SV
s_159571453_TD	s_159571453	ORAL_CAVITY	TD
s_159571453_TH	s_159571453	ORAL_CAVITY	TH
s_159591683_BM	s_159591683	ORAL_CAVITY	BM
s_159591683_HP	s_159591683	ORAL_CAVITY	HP
s_159591683_KG	s_159591683	ORAL_CAVITY	KG
s_159591683_PT	s_159591683	ORAL_CAVITY	PT
s_159591683_ST	s_159591683	GUT	ST
s_159591683_SUBP	s_159591683	ORAL_CAVITY	SUBP
s_159591683_SUPP	s_159591683	ORAL_CAVITY	SUPP
s_159591683_SV	s_159591683	ORAL_CAVITY	SV
s_159591683_TD	s_159591683	ORAL_CAVITY	TD
s_159591683_TH	s_159591683	ORAL_CAVITY	TH
s_159611913_BM	s_159611913	ORAL_CAVITY	BM
s_159611913_HP	s_159611913	ORAL_CAVITY	HP
s_159611913_KG	s_159611913	ORAL_CAVITY	KG
s_159611913_PT	s_159611913	ORAL_CAVITY	PT
s_159611913_ST	s_159611913	GUT	ST
s_159611913_SUBP	s_159611913	ORAL_CAVITY	SUBP
s_159611913_SUPP	s_159611913	ORAL_CAVITY	SUPP
s_159611913_SV	s_159611913	ORAL_CAVITY	SV
s_159611913_TD	s_159611913	ORAL_CAVITY	TD
s_159611913_TH	s_159611913	ORAL_CAVITY	TH
s_159632143_BM	s_159632143	ORAL_CAVITY	BM
s_159632143_HP	s_159632143	ORAL_CAVITY	HP
s_159632143_KG	s_159632143	ORAL_CAVITY	KG
s_159632143_PT	s_159632143	ORAL_CAVITY	PT
s_159632143_ST	s_159632143	GUT	ST
s_159632143_SUBP	s_159632143	ORAL_CAVITY	SUBP
s_159632143_SUPP	s_159632143	ORAL_CAVITY	SUPP
s_159632143_SV	s_159632143	ORAL_CAVITY	SV
s_159632143_TD	s_159632143	ORAL_CAVITY	TD
s_159632143_TH	s_159632143	ORAL_CAVITY	TH
s_159672603_BM	s_159672603	ORAL_CAVITY	BM
s_159672603_HP	s_159672603	ORAL_CAVITY	HP
s_159672603_KG	s_159672603	ORAL_CAVITY	KG
s_159672603_PT	s_159672603	ORAL_CAVITY	PT
s_159672603_ST	s_159672603	GUT	ST
s_159672603_SUBP	s_159672603	ORAL_CAVITY	SUBP
s_159672603_SUPP	s_159672603	ORAL_CAVITY	SUPP
s_159672603_SV	s_159672603	ORAL_CAVITY	SV
s_159672603_TD	s_159672603	ORAL_CAVITY	TD
s_159672603_TH	s_159672603	ORAL_CAVITY	TH
s_159713063_BM	s_159713063	ORAL_CAVITY	BM
s_159713063_HP	s_159713063	ORAL_CAVITY	HP
s_159713063_KG	s_159713063	ORAL_CAVITY	KG
s_159713063_PT	s_159713063	ORAL_CAVITY	PT
s_159713063_ST	s_159713063	GUT	ST
s_159713063_SUBP	s_159713063	ORAL_CAVITY	SUBP
s_159713063_SUPP	s_159713063	ORAL_CAVITY	SUPP
s_159713063_SV	s_159713063	ORAL_CAVITY	SV
s_159713063_TD	s_159713063	ORAL_CAVITY	TD
s_159713063_TH	s_159713063	ORAL_CAVITY	TH
s_159814214_BM	s_159814214	ORAL_CAVITY	BM
s_159814214_HP	s_159814214	ORAL_CAVITY	HP
s_159814214_KG	s_159814214	ORAL_CAVITY	KG
s_159814214_PT	s_159814214	ORAL_CAVITY	PT
s_159814214_ST	s_159814214	GUT	ST
s_159814214_SUBP	s_159814214	ORAL_CAVITY	SUBP
s_159814214_SUPP	s_159814214	ORAL_CAVITY	SUPP
s_159814214_SV	s_159814214	ORAL_CAVITY	SV
s_159814214_TD	s_159814214	ORAL_CAVITY	TD
s_159814214_TH	s_159814214	ORAL_CAVITY	TH
s_159915365_BM	s_159915365	ORAL_CAVITY	BM
s_159915365_HP	s_159915365	ORAL_CAVITY	HP
s_159915365_KG	s_159915365	ORAL_CAVITY	KG
s_159915365_PT	s_159915365	ORAL_CAVITY	PT
s_159915365_SUBP	s_159915365	ORAL_CAVITY	SUBP
s_159915365_SUPP	s_159915365	ORAL_CAVITY	SUPP
s_159915365_SV	s_159915365	ORAL_CAVITY	SV
s_159915365_TD	s_159915365	ORAL_CAVITY	TD
s_159915365_TH	s_159915365	ORAL_CAVITY	TH
s_160016515_BM	s_160016515	ORAL_CAVITY	BM
s_160016515_HP	s_160016515	ORAL_CAVITY	HP
s_160016515_KG	s_160016515	ORAL_CAVITY	KG
s_160016515_PT	s_160016515	ORAL_CAVITY	PT
s_160016515_ST	s_160016515	GUT	ST
s_160016515_SUBP	s_160016515	ORAL_CAVITY	SUBP
s_160016515_SUPP	s_160016515	ORAL_CAVITY	SUPP
s_160016515_SV	s_160016515	ORAL_CAVITY	SV
s_160016515_TD	s_160016515	ORAL_CAVITY	TD
s_160016515_TH	s_160016515	ORAL_CAVITY	TH
s_160036745_BM	s_160036745	ORAL_CAVITY	BM
s_160036745_HP	s_160036745	ORAL_CAVITY	HP
s_160036745_KG	s_160036745	ORAL_CAVITY	KG
s_160036745_PT	s_160036745	ORAL_CAVITY	PT
s_160036745_ST	s_160036745	GUT	ST
s_160036745_SUBP	s_160036745	ORAL_CAVITY	SUBP
s_160036745_SUPP	s_160036745	ORAL_CAVITY	SUPP
s_160036745_SV	s_160036745	ORAL_CAVITY	SV
s_160036745_TD	s_160036745	ORAL_CAVITY	TD
s_160036745_TH	s_160036745	ORAL_CAVITY	TH
s_160056975_BM	s_160056975	ORAL_CAVITY	BM
s_160056975_HP	s_160056975	ORAL_CAVITY	HP
s_160056975_KG	s_160056975	ORAL_CAVITY	KG
s_160056975_PT	s_160056975	ORAL_CAVITY	PT
s_160056975_ST	s_160056975	GUT	ST
s_160056975_SUBP	s_160056975	ORAL_CAVITY	SUBP
s_160056975_SUPP	s_160056975	ORAL_CAVITY	SUPP
s_160056975_SV	s_160056975	ORAL_CAVITY	SV
s_160056975_TD	s_160056975	ORAL_CAVITY	TD
s_160056975_TH	s_160056975	ORAL_CAVITY	TH
s_160097436_BM	s_160097436	ORAL_CAVITY	BM
