Authors,Title,Year,Source title,Page start,Page end,Cited by
"Anderson, E.B., Mitchell, J.F., Reynolds, J.H.",Attention-dependent reductions in burstiness and action-potential height in macaque area V4,2013,Nature Neuroscience,1125,1131,5
"Kishimoto, N., Asakawa, K., Madelaine, R., Blader, P., Kawakami, K., Sawamoto, K.",Interhemispheric asymmetry of olfactory inputdependent neuronal specification in the adult brain,2013,Nature Neuroscience,884,888,5
"Nelken, I., De Cheveigné, A.",An ear for statistics,2013,Nature Neuroscience,381,382,5
"Clarke, L.E., Attwell, D.",An astrocyte TRP switch for inhibition,2012,Nature Neuroscience,3,4,6
"Gitler, A.D.",TDP-43 and FUS/TLS yield a target-rich haul in ALS,2012,Nature Neuroscience,1467,1469,6
"Wan, Q., Jiang, X.-Y., Negroiu, A.M., Lu, S.-G., McKay, K.S., Abrams, T.W.",Protein kinase C acts as a molecular detector of firing patterns to mediate sensory gating in Aplysia,2012,Nature Neuroscience,1144,1152,6
"Niv, Y., Chan, S.",On the value of information and other rewards,2011,Nature Neuroscience,1095,1097,7
"Dietrich, M.O., Horvath, T.L.",Fat incites tanycytes to neurogenesis,2012,Nature Neuroscience,651,653,7
"Sapolsky, R.",Any kind of mother in a storm,2009,Nature Neuroscience,1355,1356,8
"Peden, A.S., Mac, P., Fei, Y.-J., Castro, C., Jiang, G., Murfitt, K.J., Miska, E.A., Griffin, J.L., Ganapathy, V., Jorgensen, E.M.",Betaine acts on a ligand-gated ion channel in the nervous system of the nematode C. elegans,2013,Nature Neuroscience,1794,1801,8
"Ping, Y., Tsunoda, S.",Inactivity-induced increase in nAChRs upregulates Shal K + channels to stabilize synaptic potentials,2012,Nature Neuroscience,90,97,9
"Taverna, E., Haffner, C., Pepperkok, R., Huttner, W.B.",A new approach to manipulate the fate of single neural stem cells in tissue,2012,Nature Neuroscience,329,337,9
"Angueyra, J.M., Rieke, F.",Origin and effect of phototransduction noise in primate cone photoreceptors,2013,Nature Neuroscience,1692,1700,9
"Michel, M.M., Chen, Y., Geisler, W.S., Seidemann, E.",An illusion predicted by V1 population activity implicates cortical topography in shape perception,2013,Nature Neuroscience,1477,1483,9
"Sekine, S.U., Haraguchi, S., Chao, K., Kato, T., Luo, L., Miura, M., Chihara, T.",Meigo governs dendrite targeting specificity by modulating Ephrin level and N-glycosylation,2013,Nature Neuroscience,683,691,9
"Thiele, A.",Optimizing brain processing,2009,Nature Neuroscience,1359,1360,10
"Yi, C.-X., Scherer, T., Tschöp, M.H.",Cajal revisited: Does the VMH make us fat?,2011,Nature Neuroscience,806,808,10
"Zweifel, L.S., Fadok, J.P., Argilli, E., Garelick, M.G., Jones, G.L., Dickerson, T.M.K., Allen, J.M., Mizumori, S.J.Y., Bonci, A., Palmiter, R.D.",Activation of dopamine neurons is critical for aversive conditioning and prevention of generalized anxiety,2011,Nature Neuroscience,620,628,10
"Soskis, M.J., Ho, H.-Y.H., Bloodgood, B.L., Robichaux, M.A., Malik, A.N., Ataman, B., Rubin, A.A., Zieg, J., Zhang, C., Shokat, K.M., Sharma, N., Cowan, C.W., Greenberg, M.E.",A chemical genetic approach reveals distinct EphB signaling mechanisms during brain development,2012,Nature Neuroscience,1645,1654,10
"Huilgol, D., Udin, S., Shimogori, T., Saha, B., Roy, A., Aizawa, S., Hevner, R.F., Meyer, G., Ohshima, T., Pleasure, S.J., Zhao, Y., Tole, S.",Dual origins of the mammalian accessory olfactory bulb revealed by an evolutionarily conserved migratory stream,2013,Nature Neuroscience,157,165,10
"Lee, S., Song, B., Kim, J., Park, K., Hong, I., An, B., Song, S., Lee, J., Park, S., Kim, J., Park, D., Lee, C.J., Kim, K., Shin, K.S., Tsien, R.W., Choi, S.",GluA1 phosphorylation at serine 831 in the lateral amygdala is required for fear renewal,2013,Nature Neuroscience,1436,1444,10
"Tao, Y., Chen, Y.-J., Shen, C., Luo, Z., Bates, C.R., Lee, D., Marchetto, S., Gao, T.-M., Borg, J.-P., Xiong, W.-C., Mei, L.",Erbin interacts with TARP γ-2 for surface expression of AMPA receptors in cortical interneurons,2013,Nature Neuroscience,290,299,10
"Toth, A.B., Terauchi, A., Zhang, L.Y., Johnson-Venkatesh, E.M., Larsen, D.J., Sutton, M.A., Umemori, H.",Synapse maturation by activity-dependent ectodomain shedding of SIRPα,2013,Nature Neuroscience,1417,1425,10
"Yue, Z., Yang, X.W.",Dangerous duet: LRRK2 and α-synuclein jam at CMA,2013,Nature Neuroscience,375,377,10
"Ning, K., Li, L., Liao, M., Liu, B., Mielke, J.G., Chen, Y., Duan, Y., El-Hayek, Y.H., Wan, Q.",Circadian regulation of GABAA receptor function by CKIε-CKIδ in the rat suprachiasmatic nuclei,2004,Nature Neuroscience,489,490,11
"Paradiso, K., Wu, L.-G.",Small voltage changes at nerve terminals travel up axons to affect action potential initiation,2009,Nature Neuroscience,541,543,11
"Boulin, T., Rapti, G., Briseño-Roa, L., Stigloher, C., Richmond, J.E., Paoletti, P., Bessereau, J.-L.",Positive modulation of a Cys-loop acetylcholine receptor by an auxiliary transmembrane subunit,2012,Nature Neuroscience,1374,1381,11
"Kim, W.J., Jan, L.Y., Jan, Y.N.",Contribution of visual and circadian neural circuits to memory for prolonged mating induced by rivals,2012,Nature Neuroscience,876,883,11
"Hunt, D.L., Puente, N., Grandes, P., Castillo, P.E.",Bidirectional NMDA receptor plasticity controls CA3 output and heterosynaptic metaplasticity,2013,Nature Neuroscience,1049,1059,11
"Puehringer, D., Orel, N., Lüningschrör, P., Subramanian, N., Herrmann, T., Chao, M.V., Sendtner, M.",EGF transactivation of Trk receptors regulates the migration of newborn cortical neurons,2013,Nature Neuroscience,407,415,11
"Sarkar, C., Chandra, G., Peng, S., Zhang, Z., Liu, A., Mukherjee, A.B.",Neuroprotection and lifespan extension in Ppt1-/- mice by NtBuHA: Therapeutic implications for INCL,2013,Nature Neuroscience,1608,1617,11
"Wang, G., Obama, S., Yamashita, W., Sugihara, T., Tanaka, K.",Prior experience of rotation is not required for recognizing objects seen from different angles,2005,Nature Neuroscience,1568,1575,12
"Hyde, R.A., Strowbridge, B.W.",Mnemonic representations of transient stimuli and temporal sequences in the rodent hippocampus in vitro,2012,Nature Neuroscience,1430,1438,12
"Pan, P.-Y., Ryan, T.A.",Calbindin controls release probability in ventral tegmental area dopamine neurons,2012,Nature Neuroscience,813,815,12
"Wyatt, R.M., Tring, E., Trachtenberg, J.T.",Pattern and not magnitude of neural activity determines dendritic spine stability in awake mice,2012,Nature Neuroscience,949,951,12
"Conductier, G., Brau, F., Viola, A., Langlet, F., Ramkumar, N., Dehouck, B., Lemaire, T., Chapot, R., Lucas, L., Rovère, C., Maitre, P., Hosseiny, S., Petit-Paitel, A., Adamantidis, A., Lakaye, B., Risold, P.-Y., Prévot, V., Meste, O., Nahon, J.-L., Guyon, A.",Melanin-concentrating hormone regulates beat frequency of ependymal cilia and ventricular volume,2013,Nature Neuroscience,845,847,12
"Kaplan, J.S., Mohr, C., Rossi, D.J.",Opposite actions of alcohol on tonic GABA A receptor currents mediated by nNOS and PKC activity,2013,Nature Neuroscience,1783,1793,12
"Saha, D., Leong, K., Li, C., Peterson, S., Siegel, G., Raman, B.",A spatiotemporal coding mechanism for background-invariant odor recognition,2013,Nature Neuroscience,1830,1839,12
"Geng, Y., Xiong, D., Mosyak, L., Malito, D.L., Kniazeff, J., Chen, Y., Burmakina, S., Quick, M., Bush, M., Javitch, J.A., Pin, J.-P., Fan, Q.R.",Structure and functional interaction of the extracellular domain of human GABA B receptor GBR2,2012,Nature Neuroscience,970,978,13
"Longordo, F., To, M.-S., Ikeda, K., Stuart, G.J.",Sublinear integration underlies binocular processing in primary visual cortex,2013,Nature Neuroscience,714,723,13
"Luna, V.M., Pettit, D.L.",Asymmetric rostro-caudal inhibition in the primary olfactory cortex,2010,Nature Neuroscience,533,535,14
"Armbruster, M., Ryan, T.A.",Synaptic vesicle retrieval time is a cell-wide rather than individual-synapse property,2011,Nature Neuroscience,824,826,14
"Barker, J.M., Torregrossa, M.M., Taylor, J.R.",Low prefrontal PSA-NCAM confers risk for alcoholism-related behavior,2012,Nature Neuroscience,1356,1358,14
"Nitz, D.A.",Spaces within spaces: Rat parietal cortex neurons register position across three reference frames,2012,Nature Neuroscience,1365,1367,14
"Williams, C., Chen, W., Lee, C.-H., Yaeger, D., Vyleta, N.P., Smith, S.M.",Coactivation of multiple tightly coupled calcium channels triggers spontaneous release of GABA,2012,Nature Neuroscience,1195,1197,14
"Aizenberg, M., Geffen, M.N.",Bidirectional effects of aversive learning on perceptual acuity are mediated by the sensory cortex,2013,Nature Neuroscience,994,996,14
"Kisiswa, L., Osório, C., Erice, C., Vizard, T., Wyatt, S., Davies, A.M.",TNFα reverse signaling promotes sympathetic axon growth and target innervation,2013,Nature Neuroscience,865,873,14
"Silson, E.H., McKeefry, D.J., Rodgers, J., Gouws, A.D., Hymers, M., Morland, A.B.",Specialized and independent processing of orientation and shape in visual field maps LO1 and LO2,2013,Nature Neuroscience,267,269,14
"Studniarczyk, D., Coombs, I., Cull-Candy, S.G., Farrant, M.",TARP γ-7 selectively enhances synaptic expression of calcium-permeable AMPARs,2013,Nature Neuroscience,1266,1274,14
"Zhu, P., Frank, T., Friedrich, R.W.",Equalization of odor representations by a network of electrically coupled inhibitory interneurons,2013,Nature Neuroscience,1678,1686,14
"Yang, Y., Cao, P., Yang, Y., Wang, S.-R.",Corollary discharge circuits for saccadic modulation of the pigeon visual system,2008,Nature Neuroscience,595,602,15
"Mathur, B.N., Tanahira, C., Tamamaki, N., Lovinger, D.M.",Voltage drives diverse endocannabinoid signals to mediate striatal microcircuit-specific plasticity,2013,Nature Neuroscience,1275,1283,15
"Savtchenko, L.P., Sylantyev, S., Rusakov, D.A.",Central synapses release a resource-efficient amount of glutamate,2013,Nature Neuroscience,10,12,15
"Stange, A., Myoga, M.H., Lingner, A., Ford, M.C., Alexandrova, O., Felmy, F., Pecka, M., Siveke, I., Grothe, B.",Adaptation in sound localization: from GABA B receptor-mediated synaptic modulation to perception,2013,Nature Neuroscience,1840,1847,15
"Hiramoto, M., Hiromi, Y.",ROBO directs axon crossing of segmental boundaries by suppressing responsiveness to relocalized Netrin,2006,Nature Neuroscience,58,66,16
"Witten, I.B., Bergan, J.F., Knudsen, E.I.",Dynamic shifts in the owl's auditory space map predict moving sound location,2006,Nature Neuroscience,1439,1445,16
"Wright, N., Glazewski, S., Hardingham, N., Phillips, K., Pervolaraki, E., Fox, K.",Laminar analysis of the role of GluR1 in experience-dependent and synaptic depression in barrel cortex,2008,Nature Neuroscience,1140,1142,16
"Heimel, J.A., Saiepour, M.H., Chakravarthy, S., Hermans, J.M., Levelt, C.N.",Contrast gain control and cortical TrkB signaling shape visual acuity,2010,Nature Neuroscience,642,648,16
"Economides, J.R., Sincich, L.C., Adams, D.L., Horton, J.C.",Orientation tuning of cytochrome oxidase patches in macaque primary visual cortex,2011,Nature Neuroscience,1574,1580,16
"Fournier, J., Monier, C., Pananceau, M., Frégnac, Y.",Adaptation of the simple or complex nature of V1 receptive fields to visual statistics,2011,Nature Neuroscience,1053,1060,16
"Kay, L., Humphreys, L., Eickholt, B.J., Burrone, J.",Neuronal activity drives matching of pre-and postsynaptic function during synapse maturation,2011,Nature Neuroscience,688,690,16
"Walker, L.C., Jucker, M.",Amyloid by default,2011,Nature Neuroscience,669,670,16
"Estebanez, L., Boustani, S.E., Destexhe, A., Shulz, D.E.",Correlated input reveals coexisting coding schemes in a sensory cortex,2012,Nature Neuroscience,1691,1699,16
"Lee, S., Ahmed, T., Lee, S., Kim, H., Choi, S., Kim, D.-S., Kim, S.J., Cho, J., Shin, H.-S.",Bidirectional modulation of fear extinction by mediodorsal thalamic firing in mice,2012,Nature Neuroscience,308,314,16
"Lee, Y., Katyal, S., Downing, S.M., Zhao, J., Russell, H.R., McKinnon, P.J.",Neurogenesis requires TopBP1 to prevent catastrophic replicative DNA damage in early progenitors,2012,Nature Neuroscience,819,826,16
"Matta, J.A., Pelkey, K.A., Craig, M.T., Chittajallu, R., Jeffries, B.W., McBain, C.J.",Developmental origin dictates interneuron AMPA and NMDA receptor subunit composition and plasticity,2013,Nature Neuroscience,1032,1041,16
"Schulz, A., Baader, S.L., Niwa-Kawakita, M., Jung, M.J., Bauer, R., Garcia, C., Zoch, A., Schacke, S., Hagel, C., Mautner, V.-F., Oliver Hanemann, C., Dun, X.-P., Parkinson, D.B., Weis, J., Michael Schröder, J., Gutmann, D.H., Giovannini, M., Morrison, H.",Merlin isoform 2 in neurofibromatosis type 2-associated polyneuropathy,2013,Nature Neuroscience,426,433,16
"Visser, R.M., Scholte, H.S., Beemsterboer, T., Kindt, M.",Neural pattern similarity predicts long-term fear memory,2013,Nature Neuroscience,388,390,16
"Gilroy, L.A., Blake, R.",Physics embedded in visual perception of three-dimensional shape from motion,2004,Nature Neuroscience,921,922,17
"Lai, M., Wang, F., Rohan, J.G., Maeno-Hikichi, Y., Chen, Y., Zhou, Y., Gao, G., Sather, W.A., Zhang, J.-F.",A tctex1-Ca2+ channel complex for selective surface expression of Ca2+ channels in neurons,2005,Nature Neuroscience,435,442,17
"Eisenman, L.N., Shu, H.-J., Akk, G., Wang, C., Manion, B.D., Kress, G.J., Evers, A.S., Steinbach, J.H., Covey, D.F., Zorumski, C.F., Mennerick, S.",Anticonvulsant and anesthetic effects of a fluorescent neurosteroid analog activated by visible light,2007,Nature Neuroscience,523,530,17
"Richards, B.A., Voss, O.P., Akerman, C.J.",GABAergic circuits control stimulus-instructed receptive field development in the optic tectum,2010,Nature Neuroscience,1098,1106,17
"Farovik, A., Place, R.J., Miller, D.R., Eichenbaum, H.",Amygdala lesions selectively impair familiarity in recognition memory,2011,Nature Neuroscience,1416,1417,17
"Cho, J.-H., Bayazitov, I.T., Meloni, E.G., Myers, K.M., Carlezon Jr., W.A., Zakharenko, S.S., Bolshakov, V.Y.",Coactivation of thalamic and cortical pathways induces input timing-dependent plasticity in amygdala,2012,Nature Neuroscience,113,122,17
"Fluegge, D., Moeller, L.M., Cichy, A., Gorin, M., Weth, A., Veitinger, S., Cainarca, S., Lohmer, S., Corazza, S., Neuhaus, E.M., Baumgartner, W., Spehr, J., Spehr, M.",Mitochondrial Ca 2+ mobilization is a key element in olfactory signaling,2012,Nature Neuroscience,754,762,17
"Ziegenfuss, J.S., Doherty, J., Freeman, M.R.",Distinct molecular pathways mediate glial activation and engulfment of axonal debris after axotomy,2012,Nature Neuroscience,979,987,17
"Apostolides, P.F., Trussell, L.O.",Regulation of interneuron excitability by gap junction coupling with principal cells,2013,Nature Neuroscience,1764,1772,17
"Jia, J.-M., Zhao, J., Hu, Z., Lindberg, D., Li, Z.",Age-dependent regulation of synaptic connections by dopamine D2 receptors,2013,Nature Neuroscience,1627,1636,17
"Justinova, Z., Mascia, P., Wu, H.-Q., Secci, M.E., Redhi, G.H., Panlilio, L.V., Scherma, M., Barnes, C., Parashos, A., Zara, T., Fratta, W., Solinas, M., Pistis, M., Bergman, J., Kangas, B.D., Ferré, S., Tanda, G., Schwarcz, R., Goldberg, S.R.",Reducing cannabinoid abuse and preventing relapse by enhancing endogenous brain levels of kynurenic acid,2013,Nature Neuroscience,1652,1661,17
"Laurens, J., Meng, H., Angelaki, D.E.",Computation of linear acceleration through an internal model in the macaque cerebellum,2013,Nature Neuroscience,1701,1708,17
"Monosov, I.E., Hikosaka, O.",Selective and graded coding of reward uncertainty by neurons in the primate anterodorsal septal region,2013,Nature Neuroscience,756,762,17
"Trenholm, S., Schwab, D.J., Balasubramanian, V., Awatramani, G.B.",Lag normalization in an electrically coupled neural network,2013,Nature Neuroscience,154,156,17
"Trovò, L., Ahmed, T., Callaerts-Vegh, Z., Buzzi, A., Bagni, C., Chuah, M., Vandendriessche, T., D'Hooge, R., Balschun, D., Dotti, C.G.","Low hippocampal PI(4,5)P 2 contributes to reduced cognition in old mice as a result of loss of MARCKS",2013,Nature Neuroscience,449,455,17
"Sandoval, G.M., Duerr, J.S., Hodgkin, J., Rand, J.B., Ruvkun, G.",A genetic interaction between the vesicular acetylcholine transporter VAChT/UNC-17 and synaptobrevin/SNB-1 in C. elegans,2006,Nature Neuroscience,599,601,18
"Shen, Q., Temple, S.",Fine control: MicroRNA regulation of adult neurogenesis,2009,Nature Neuroscience,369,370,18
"Liu, J., Wu, D.C., Wang, Y.T.",Allosteric potentiation of glycine receptor chloride currents by glutamate,2010,Nature Neuroscience,1225,1232,18
"Onishi, A., Peng, G.-H., Chen, S., Blackshaw, S.",Pias3-dependent SUMOylation controls mammalian cone photoreceptor differentiation,2010,Nature Neuroscience,1059,1065,18
"Ransohoff, R.M.",Microglia and monocytes: 'Tis plain the twain meet in the brain,2011,Nature Neuroscience,1098,1100,18
"Wu, K.N., Tan, B.K., Howard, J.D., Conley, D.B., Gottfried, J.A.",Olfactory input is critical for sustaining odor quality codes in human orbitofrontal cortex,2012,Nature Neuroscience,1313,1319,18
"Chittajallu, R., Pelkey, K.A., McBain, C.J.",Neurogliaform cells dynamically regulate somatosensory integration via synapse-specific modulation,2013,Nature Neuroscience,13,15,18
"Simmons, W.K., Rapuano, K.M., Kallman, S.J., Ingeholm, J.E., Miller, B., Gotts, S.J., Avery, J.A., Hall, K.D., Martin, A.",Category-specific integration of homeostatic signals in caudal but not rostral human insula,2013,Nature Neuroscience,1551,1552,18
"Smear, M., Resulaj, A., Zhang, J., Bozza, T., Rinberg, D.",Multiple perceptible signals from a single olfactory glomerulus,2013,Nature Neuroscience,1687,1691,18
"Sprague, T.C., Serences, J.T.","Attention modulates spatial priority maps in the human occipital, parietal and frontal cortices",2013,Nature Neuroscience,1879,1887,18
"Pollmann, S., Maertens, M.",Shift of activity from attention to motor-related brain areas during visual learning,2005,Nature Neuroscience,1494,1496,19
"Ohshiro, T., Weliky, M.",Simple fall-off pattern of correlated neural activity in the developing lateral geniculate nucleus,2006,Nature Neuroscience,1541,1548,19
"Schuske, K., Palfreyman, M.T., Watanabe, S., Jorgensen, E.M.",UNC-46 is required for trafficking of the vesicular GABA transporter,2007,Nature Neuroscience,846,853,19
"Hayashi, Y., Hirotsu, T., Iwata, R., Kage-Nakadai, E., Kunitomo, H., Ishihara, T., Iino, Y., Kubo, T.",A trophic role for Wnt-Ror kinase signaling during developmental pruning in Caenorhabditis elegans,2009,Nature Neuroscience,981,987,19
"Bell, M.R., Belarde, J.A., Johnson, H.F., Aizenman, C.D.",A neuroprotective role for polyamines in a Xenopus tadpole model of epilepsy,2011,Nature Neuroscience,505,512,19
"Yang, J., Dominguez, B., De Winter, F., Gould, T.W., Eriksson, J.E., Lee, K.-F.",Nestin negatively regulates postsynaptic differentiation of the neuromuscular synapse,2011,Nature Neuroscience,324,330,19
"Beauchamp, M.S., Sun, P., Baum, S.H., Tolias, A.S., Yoshor, D.",Electrocorticography links human temporoparietal junction to visual perception,2012,Nature Neuroscience,957,959,19
"Simoncini, C., Perrinet, L.U., Montagnini, A., Mamassian, P., Masson, G.S.",More is not always better: Adaptive gain control explains dissociation between perception and action,2012,Nature Neuroscience,1596,1603,19
"McDermott, J.H., Schemitsch, M., Simoncelli, E.P.",Summary statistics in auditory perception,2013,Nature Neuroscience,493,498,19
"Shonesy, B.C., Wang, X., Rose, K.L., Ramikie, T.S., Cavener, V.S., Rentz, T., Baucum, A.J., Jalan-Sakrikar, N., MacKie, K., Winder, D.G., Patel, S., Colbran, R.J.",CaMKII regulates diacylglycerol lipase-α and striatal endocannabinoid signaling,2013,Nature Neuroscience,456,463,19
"Newton, J.R., Ellsworth, C., Miyakawa, T., Tonegawa, S., Sur, M.",Acceleration of visually cued conditioned fear through the auditory pathway,2004,Nature Neuroscience,968,973,20
"Cai, S.-Q., Hernandez, L., Wang, Y., Park, K.H., Sesti, F.",MPS-1 is a K+ channel β-subunit and a serine/threonine kinase,2005,Nature Neuroscience,1503,1509,20
"Churchland, M.M., Abbott, L.F.",Two layers of neural variability,2012,Nature Neuroscience,1472,1474,20
"Kim, J., Marlow, P.J., Anderson, B.L.",The dark side of gloss,2012,Nature Neuroscience,1590,1595,20
"Liu, O.W., Shen, K.",The transmembrane LRR protein DMA-1 promotes dendrite branching and growth in C. elegans,2012,Nature Neuroscience,57,63,20
"Logan, M.A., Hackett, R., Doherty, J., Sheehan, A., Speese, S.D., Freeman, M.R.",Negative regulation of glial engulfment activity by Draper terminates glial responses to axon injury,2012,Nature Neuroscience,722,730,20
"Liu, S., Gu, Y., Deangelis, G.C., Angelaki, D.E.",Choice-related activity and correlated noise in subcortical vestibular neurons,2013,Nature Neuroscience,89,97,20
"Pagan, M., Urban, L.S., Wohl, M.P., Rust, N.C.",Signals in inferotemporal and perirhinal cortex suggest an untangling of visual target information,2013,Nature Neuroscience,1132,1139,20
"Zembrzycki, A., Chou, S.-J., Ashery-Padan, R., Stoykova, A., O'Leary, D.D.M.",Sensory cortex limits cortical maps and drives top-down plasticity in thalamocortical circuits,2013,Nature Neuroscience,1060,1067,20
