Authors,Title,Year,Source title,Page start,Page end,Cited by
"Feil, E.J.",The emergence and spread of dysentery,2012,Nature Genetics,964,965,5
"Zoghbi, H.Y.",SILencing misbehaving proteins,2005,Nature Genetics,1302,1303,6
"Civelek, M., Lusis, A.J.",Conducting the metabolic syndrome orchestra,2011,Nature Genetics,506,508,6
"Göring, H.H.H.",Tissue specificity of genetic regulation of gene expression,2012,Nature Genetics,1077,1078,6
"Fitzpatrick, D.R.",Filling in the gaps in cranial suture biology,2013,Nature Genetics,231,232,6
"Mukamel, Z., Tanay, A.",Hypomethylation marks enhancers within transposable elements,2013,Nature Genetics,717,718,6
"Tsiantis, M.",A transposon in tb1 drove maize domestication,2011,Nature Genetics,1048,1050,7
"Hurles, M.",Older males beget more mutations,2012,Nature Genetics,1174,1176,7
"Kumar, V., Kato, N., Urabe, Y., Takahashi, A., Muroyama, R., Hosono, N., Otsuka, M., Tateishi, R., Omata, M., Nakagawa, H., Koike, K., Kamatani, N., Kubo, M., Nakamura, Y., Matsuda, K.",Genome-wide association study identifies a susceptibility locus for HCV-induced hepatocellular carcinoma,2011,Nature Genetics,455,458,8
"Sherman, D.R., Gagneux, S.",Estimating the mutation rate of Mycobacterium tuberculosis during infection,2011,Nature Genetics,400,401,8
"Riccio, A., Cubellis, M.V.",Gain of function in CDKN1C,2012,Nature Genetics,737,738,8
"Trimarchi, T., Ntziachristos, P., Aifantis, I.",A new player SETs in myeloid malignancy,2013,Nature Genetics,846,847,8
"Campo, E.",New pathogenic mechanisms in Burkitt lymphoma,2012,Nature Genetics,1288,1289,9
"Gumbo, T.",Biological variability and the emergence of multidrug-resistant tuberculosis,2013,Nature Genetics,720,721,10
"Hakimi, A.A., Pham, C.G., Hsieh, J.J.",A clear picture of renal cell carcinoma,2013,Nature Genetics,849,850,10
"Hyde, R.K., Liu, P.P.",GATA2 mutations lead to MDS and AML,2011,Nature Genetics,926,927,11
"Pritchard, J.K.",Whole-genome sequencing data offer insights into human demography,2011,Nature Genetics,923,925,11
"Bonnard, C., Strobl, A.C., Shboul, M., Lee, H., Merriman, B., Nelson, S.F., Ababneh, O.H., Uz, E., Güran, T., Kayserili, H., Hamamy, H., Reversade, B.",Mutations in IRX5 impair craniofacial development and germ cell migration via SDF1,2012,Nature Genetics,709,713,11
"Postel-Vinay, S., Ashworth, A.",AXL and acquired resistance to EGFR inhibitors,2012,Nature Genetics,835,836,11
"Behrens, T.W.",Lyp breakdown and autoimmunity,2011,Nature Genetics,821,822,12
"Totoki, Y., Tatsuno, K., Yamamoto, S., Arai, Y., Hosoda, F., Ishikawa, S., Tsutsumi, S., Sonoda, K., Totsuka, H., Shirakihara, T., Sakamoto, H., Wang, L., Ojima, H., Shimada, K., Kosuge, T., Okusaka, T., Kato, K., Kusuda, J., Yoshida, T., Aburatani, H., Shibata, T.",High-resolution characterization of a hepatocellular carcinoma genome,2011,Nature Genetics,464,471,12
"Lans, H., Hoeijmakers, J.H.J.","Genome stability, progressive kidney failure and aging",2012,Nature Genetics,836,838,12
"Savage, S.A.",Connecting complex disorders through biology,2012,Nature Genetics,238,240,12
"Bird, A.",Putting the DNA back into DNA methylation,2011,Nature Genetics,1050,1051,13
"Patrinos, A.",'Race' and the human genome.,2004,Nature genetics,,,14
"Bonnefond, A., Skrobek, B., Lobbens, S., Eury, E., Thuillier, D., Cauchi, S., Lantieri, O., Balkau, B., Riboli, E., Marre, M., Charpentier, G., Yengo, L., Froguel, P.",Association between large detectable clonal mosaicism and type 2 diabetes with vascular complications,2013,Nature Genetics,1040,1043,14
"Khrapko, K.",The timing of mitochondrial DNA mutations in aging,2011,Nature Genetics,726,727,15
"Gaut, B.",Arabidopsis thaliana as a model for the genetics of local adaptation,2012,Nature Genetics,115,116,15
"Unger, S., Böhm, D., Kaiser, F.J., Kaulfuß, S., Borozdin, W., Buiting, K., Burfeind, P., Böhm, J., Barrionuevo, F., Craig, A., Borowski, K., Keppler-Noreuil, K., Schmitt-Mechelke, T., Steiner, B., Bartholdi, D., Lemke, J., Mortier, G., Sandford, R., Zabel, B., Superti-Furga, A., Kohlhase, J.","Mutations in the cyclin family member FAM58A cause an X-linked dominant disorder characterized by syndactyly, telecanthus and anogenital and renal malformations",2008,Nature Genetics,287,289,17
"Puente, X.S., López-Otín, C.",The evolutionary biography of chronic lymphocytic leukemia,2013,Nature Genetics,229,231,17
"Rajkumar, A.S., Dénervaud, N., Maerkl, S.J.",Mapping the fine structure of a eukaryotic promoter input-output function,2013,Nature Genetics,1207,1215,17
"Pietanza, M.C., Ladanyi, M.",Bringing the genomic landscape of small-cell lung cancer into focus,2012,Nature Genetics,1074,1075,18
"Oesterreich, S., Davidson, N.E.",The search for ESR1 mutations in breast cancer,2013,Nature Genetics,1415,1416,18
"Tan, D.E.K., Foo, J.N., Bei, J.-X., Chang, J., Peng, R., Zheng, X., Wei, L., Huang, Y., Lim, W.Y., Li, J., Cui, Q., Chew, S.H., Ebstein, R.P., Kuperan, P., Lim, S.T., Tao, M., Tan, S.H., Wong, A., Wong, G.C., Tan, S.Y., Ng, S.B., Zeng, Y.-X., Khor, C.C., Lin, D., Seow, A.L.H., Jia, W.-H., Liu, J.",Genome-wide association study of B cell non-Hodgkin lymphoma identifies 3q27 as a susceptibility locus in the Chinese population,2013,Nature Genetics,804,807,18
"Martin, F., Dixit, V.M.",A20 edits ubiquitin and autoimmune paradigms,2011,Nature Genetics,822,823,19
"Cheung, C.-L., Lau, K.-S., Ho, A.Y.Y., Lee, K.-K., Tiu, S.-C., Lau, E.Y.F., Leung, J., Tsang, M.-W., Chan, K.-W., Yeung, C.-Y., Woo, Y.-C., Cheung, E.Y.N., Hung, V.H.F., Pang, H.-K., Hung, C.-S., Sham, P.-C., Kung, A.W.C.",Genome-wide association study identifies a susceptibility locus for thyrotoxic periodic paralysis at 17q24.3,2012,Nature Genetics,1026,1029,19
"MacAlister, C.A., Park, S.J., Jiang, K., Marcel, F., Bendahmane, A., Izkovich, Y., Eshed, Y., Lippman, Z.B.",Synchronization of the flowering transition by the tomato terminating flower gene,2012,Nature Genetics,1393,1398,19
"Storry, J.R., Jöud, M., Christophersen, M.K., Thuresson, B., Åkerström, B., Sojka, B.N., Nilsson, B., Olsson, M.L.",Homozygosity for a null allele of SMIM1 defines the Vel-negative blood group phenotype,2013,Nature Genetics,537,541,19
"Goldstein, A.M.",Germline BAP1 mutations and tumor susceptibility,2011,Nature Genetics,925,926,20
"Issa, J.-P.",Epigenetic variation and cellular Darwinism,2011,Nature Genetics,724,726,20
"Feenstra, B., Geller, F., Krogh, C., Hollegaard, M.V., Gørtz, S., Boyd, H.A., Murray, J.C., Hougaard, D.M., Melbye, M.",Common variants near MBNL1 and NKX2-5 are associated with infantile hypertrophic pyloric stenosis,2012,Nature Genetics,334,337,20
"Zhang, Z.",Genomic landscape of liver cancer,2012,Nature Genetics,1075,1077,20
"Dokshin, G.A., Baltus, A.E., Eppig, J.J., Page, D.C.",Oocyte differentiation is genetically dissociable from meiosis in mice,2013,Nature Genetics,877,883,20
"Barrett, P.L., Fleming, J.T., Göbel, V.",Targeted gene alteration in Caenorhabditis elegans by gene conversion,2004,Nature Genetics,1231,1237,21
"Park, C.C., Ahn, S., Bloom, J.S., Lin, A., Wang, R.T., Wu, T., Sekar, A., Khan, A.H., Farr, C.J., Lusis, A.J., Leahy, R.M., Lange, K., Smith, D.J.",Fine mapping of regulatory loci for mammalian gene expression using radiation hybrids,2008,Nature Genetics,421,429,21
"Dobbins, S.E., Broderick, P., Melin, B., Feychting, M., Johansen, C., Andersson, U., Bräignnnström, T., Schramm, J., Olver, B., Lloyd, A., Ma, Y.P., Hosking, F.J., Lönn, S., Ahlbom, A., Henriksson, R., Schoemaker, M.J., Hepworth, S.J., Hoffmann, P., Mühleisen, T.W., Nöthen, M.M., Moebus, S., Eisele, L., Kosteljanetz, M., Muir, K., Swerdlow, A., Simon, M., Houlston, R.S.",Common variation at 10p12.31 near MLLT10 influences meningioma risk,2011,Nature Genetics,825,827,21
"Turnbull, C., Perdeaux, E.R., Pernet, D., Naranjo, A., Renwick, A., Seal, S., Munoz-Xicola, R.M., Hanks, S., Slade, I., Zachariou, A., Warren-Perry, M., Ruark, E., Gerrard, M., Hale, J., Hewitt, M., Kohler, J., Lane, S., Levitt, G., Madi, M., Morland, B., Neefjes, V., Nicholdson, J., Picton, S., Pizer, B., Ronghe, M., Stevens, M., Traunecker, H., Stiller, C.A., Pritchard-Jones, K., Dome, J., Grundy, P., Rahman, N.",A genome-wide association study identifies susceptibility loci for Wilms tumor,2012,Nature Genetics,681,684,21
"Mochida, G.H., Ganesh, V.S., De Michelena, M.I., Dias, H., Atabay, K.D., Kathrein, K.L., Huang, H.-T., Sean Hill, R., Felie, J.M., Rakiec, D., Gleason, D., Hill, A.D., Malik, A.N., Barry, B.J., Partlow, J.N., Tan, W.-H., Glader, L.J., James Barkovich, A., Dobyns, W.B., Zon, L.I., Walsh, C.A.",CHMP1A encodes an essential regulator of BMI1-INK4A in cerebellar development,2012,Nature Genetics,1260,1264,22
"Zhang, H., Peng, C., Hu, Y., Li, H., Sheng, Z., Chen, Y., Sullivan, C., Cerny, J., Hutchinson, L., Higgins, A., Miron, P., Zhang, X., Brehm, M.A., Li, D., Green, M.R., Li, S.",The Blk pathway functions as a tumor suppressor in chronic myeloid leukemia stem cells,2012,Nature Genetics,861,871,22
"Deng, M., Wei, L., Zuo, X., Tian, Y., Xie, F., Hu, P., Zhu, C., Yu, F., Meng, Y., Wang, H., Zhang, F., Ma, H., Ye, R., Cheng, H., Du, J., Dong, W., Zhou, S., Wang, C., Wang, Y., Wang, J., Chen, X., Sun, Z., Zhou, N., Jiang, Y., Liu, X., Li, X., Zhang, N., Liu, N., Guan, Y., Han, Y., Han, Y., Lv, X., Fu, Y., Yu, H., Xi, C., Xie, D., Zhao, Q., Xie, P., Wang, X., Zhang, Z., Shen, L., Cui, Y., Yin, X., Cheng, H., Liang, B., Zheng, X., Lee, T.M.C., Chen, G., Zhou, F., Veldink, J.H., Robberecht, W., Landers, J.E., Andersen, P.M., Al-Chalabi, A., Shaw, C., Liu, C., Tang, B., Xiao, S., Robertson, J., Zhang, F., Leonard H Van Den Berg, Sun, L., Liu, J., Yang, S., Ju, X., Wang, K., Zhang, X.",Genome-wide association analyses in Han Chinese identify two new susceptibility loci for amyotrophic lateral sclerosis,2013,Nature Genetics,697,700,22
"McDonell, L.M., Mirzaa, G.M., Alcantara, D., Schwartzentruber, J., Carter, M.T., Lee, L.J., Clericuzio, C.L., Graham Jr, J.M., Morris-Rosendahl, D.J., Polster, T., Acsadi, G., Townshend, S., Williams, S., Halbert, A., Isidor, B., David, A., Smyser, C.D., Paciorkowski, A.R., Willing, M., Woulfe, J., Das, S., Beaulieu, C.L., Marcadier, J., Geraghty, M.T., Frey, B.J., Majewski, J., Bulman, D.E., Dobyns, W.B., O'Driscoll, M., Boycott, K.M.","Mutations in STAMBP, encoding a deubiquitinating enzyme, cause microcephaly-capillary malformation syndrome",2013,Nature Genetics,556,562,22
"Weedon, M.N., Ellard, S., Prindle, M.J., Caswell, R., Allen, H.L., Oram, R., Godbole, K., Yajnik, C.S., Sbraccia, P., Novelli, G., Turnpenny, P., McCann, E., Goh, K.J., Wang, Y., Fulford, J., McCulloch, L.J., Savage, D.B., Rahilly, S.O., Kos, K., Loeb, L.A., Semple, R.K., Hattersley, A.T.",An in-frame deletion at the polymerase active site of POLD1 causes a multisystem disorder with lipodystrophy,2013,Nature Genetics,947,950,22
"Rollmann, S.M., Magwire, M.M., Morgan, T.J., Özsoy, E.D., Yamamoto, A., Mackay, T.F.C., Anholt, R.R.H.",Pleiotropic fitness effects of the Tre1-Gr5a region in Drosophila melanogaster,2006,Nature Genetics,824,829,23
"Lin, D., Wu, C., Li, D., Jia, W., Hu, Z., Zhou, Y., Yu, D., Tong, T., Wang, M., Lin, D., Qiao, Y., Zhou, Y., Chang, J., Zhai, K., Wang, M., Wei, L., Tan, W., Shen, H., Zeng, Y.",Genome-wide association study identifies common variants in SLC39A6 associated with length of survival in esophageal squamous-cell carcinoma,2013,Nature Genetics,632,638,23
"Geneviève, D., Proulle, V., Isidor, B., Bellais, S., Serre, V., Djouadi, F., Picard, C., Vignon-Savoye, C., Bader-Meunier, B., Blanche, S., De Vernejoul, M.-C., Legeai-Mallet, L., Fischer, A.-M., Le Merrer, M., Dreyfus, M., Gaussem, P., Munnich, A., Cormier-Daire, V.",Thromboxane synthase mutations in an increased bone density disorder (Ghosal syndrome),2008,Nature Genetics,284,286,24
"Akhurst, R.J.",The paradoxical TGF-β vasculopathies,2012,Nature Genetics,838,839,24
"Shi, Y., Li, L., Hu, Z., Li, S., Wang, S., Liu, J., Wu, C., He, L., Zhou, J., Li, Z., Hu, T., Chen, Y., Jia, Y., Wang, S., Wu, L., Cheng, X., Yang, Z., Yang, R., Li, X., Huang, K., Zhang, Q., Zhou, H., Tang, F., Chen, Z., Shen, J., Jiang, J., Ding, H., Xing, H., Zhang, S., Qu, P., Song, X., Lin, Z., Deng, D., Xi, L., Lv, W., Han, X., Tao, G., Yan, L., Han, Z., Li, Z., Miao, X., Pan, S., Shen, Y., Wang, H., Liu, D., Gong, E., Li, Z., Zhou, L., Luan, X., Wang, C., Song, Q., Wu, S., Xu, H., Shen, J., Qiang, F., Ma, G., Liu, L., Chen, X., Liu, J., Wu, J., Shen, Y., Wen, Y., Chu, M., Yu, J., Hu, X., Fan, Y., He, H., Jiang, Y., Lei, Z., Liu, C., Chen, J., Zhang, Y., Yi, C., Chen, S., Li, W., Wang, D., Wang, Z., Di, W., Shen, K., Lin, D., Shen, H., Feng, Y., Xie, X., Ma, D.",A genome-wide association study identifies two new cervical cancer susceptibility loci at 4q12 and 17q12,2013,Nature Genetics,918,922,24
"Logan, C.V., Lucke, B., Pottinger, C., Abdelhamed, Z.A., Parry, D.A., Szymanska, K., Diggle, C.P., Van Riesen, A.V., Morgan, J.E., Markham, G., Ellis, I., Manzur, A.Y., Markham, A.F., Shires, M., Helliwell, T., Scoto, M., Hübner, C., Bonthron, D.T., Taylor, G.R., Sheridan, E., Muntoni, F., Carr, I.M., Schuelke, M., Johnson, C.A.","Mutations in MEGF10, a regulator of satellite cell myogenesis, cause early onset myopathy, areflexia, respiratory distress and dysphagia (EMARDD)",2011,Nature Genetics,1189,1193,25
"Pohler, E., Mamai, O., Hirst, J., Zamiri, M., Horn, H., Nomura, T., Irvine, A.D., Moran, B., Wilson, N.J., Smith, F.J.D., Goh, C.S.M., Sandilands, A., Cole, C., Barton, G.J., Evans, A.T., Shimizu, H., Akiyama, M., Suehiro, M., Konohana, I., Shboul, M., Teissier, S., Boussofara, L., Denguezli, M., Saad, A., Gribaa, M., Dopping-Hepenstal, P.J., McGrath, J.A., Brown, S.J., Goudie, D.R., Reversade, B., Munro, C.S., Irwin McLean, W.H.",Haploinsufficiency for AAGAB causes clinically heterogeneous forms of punctate palmoplantar keratoderma,2012,Nature Genetics,1272,1276,25
"Zelinski, T., Coghlan, G., Liu, X.-Q., Reid, M.E.",ABCG2 null alleles define the Jr(a-) blood group phenotype,2012,Nature Genetics,131,132,25
"Genovese, G., Handsaker, R.E., Li, H., Altemose, N., Lindgren, A.M., Chambert, K., Pasaniuc, B., Price, A.L., Reich, D., Morton, C.C., Pollak, M.R., Wilson, J.G., McCarroll, S.A.",Using population admixture to help complete maps of the human genome,2013,Nature Genetics,406,414,25
"Nair, K.S., Hmani-Aifa, M., Ali, Z., Kearney, A.L., Salem, S.B., MacAlinao, D.G., Cosma, I.M., Bouassida, W., Hakim, B., Benzina, Z., Soto, I., Söderkvist, P., Howell, G.R., Smith, R.S., Ayadi, H., John, S.W.M.",Alteration of the serine protease PRSS56 causes angle-closure glaucoma in mice and posterior microphthalmia in humans and mice,2011,Nature Genetics,579,584,26
"Pillay, N., Plagnol, V., Tarpey, P.S., Lobo, S.B., Presneau, N., Szuhai, K., Halai, D., Berisha, F., Cannon, S.R., Mead, S., Kasperaviciute, D., Palmen, J., Talmud, P.J., Kindblom, L.-G., Amary, M.F., Tirabosco, R., Flanagan, A.M.",A common single-nucleotide variant in T is strongly associated with chordoma,2012,Nature Genetics,1185,1187,26
"Cvejic, A., Haer-Wigman, L., Stephens, J.C., Kostadima, M., Smethurst, P.A., Frontini, M., Van Den Akker, E., Bertone, P., Bielczyk-Maczynska, E., Farrow, S., Fehrmann, R.S., Gray, A., De Haas, M., Haver, V.G., Jordan, G., Karjalainen, J., Kerstens, H.H., Kiddle, G., Lloyd-Jones, H., Needs, M., Poole, J., Soussan, A.A., Rendon, A., Rieneck, K., Sambrook, J.G., Schepers, H., Silljé, H.H., Sipos, B., Swinkels, D., Tamuri, A.U., Verweij, N., Watkins, N.A., Westra, H.-J., Stemple, D., Franke, L., Soranzo, N., Stunnenberg, H.G., Goldman, N., Van Der Harst, P., Van Der Schoot, C.E., Ouwehand, W.H., Albers, C.A.",SMIM1 underlies the Vel blood group and influences red blood cell traits,2013,Nature Genetics,542,545,26
"Peat, J.R., Reik, W.",Incomplete methylation reprogramming in SCNT embryos,2012,Nature Genetics,965,966,27
"Hu, Z., Shi, Y., Mo, X., Xu, J., Zhao, B., Lin, Y., Yang, S., Xu, Z., Dai, J., Pan, S., Da, M., Wang, X., Qian, B., Wen, Y., Wen, J., Xing, J., Guo, X., Xia, Y., Ma, H., Jin, G., Yu, S., Liu, J., Zhou, Z., Wang, X., Chen, Y., Sha, J., Shen, H.",A genome-wide association study identifies two risk loci for congenital heart malformations in Han Chinese populations,2013,Nature Genetics,818,821,27
"Birnbaum, R.Y., Zvulunov, A., Hallel-Halevy, D., Cagnano, E., Finer, G., Ofir, R., Geiger, D., Silberstein, E., Feferman, Y., Birk, O.S.","Seborrhea-like dermatitis with psoriasiform elements caused by a mutation in ZNF750, encoding a putative C2H2 zinc finger protein",2006,Nature Genetics,749,751,28
"Di, K.N., Disteche, C.M.",Dosage compensation of the active X chromosome in mammals,2006,Nature Genetics,47,53,28
"Jelier, R., Semple, J.I., Garcia-Verdugo, R., Lehner, B.",Predicting phenotypic variation in yeast from individual genome sequences,2011,Nature Genetics,1270,1274,28
"Iles, M.M., Law, M.H., Stacey, S.N., Han, J., Fang, S., Pfeiffer, R., Harland, M., MacGregor, S., Taylor, J.C., Aben, K.K., Akslen, L.A., Avril, M.-F., Azizi, E., Bakker, B., Benediktsdottir, K.R., Bergman, W., Scarrà, G.B., Brown, K.M., Calista, D., Chaudru, V., Fargnoli, M.C., Cust, A.E., Demenais, F., De Waal, A.C., Dȩbniak, T., Elder, D.E., Friedman, E., Galan, P., Ghiorzo, P., Gillanders, E.M., Goldstein, A.M., Gruis, N.A., Hansson, J., Helsing, P., Hočevar, M., Höiom, V., Hopper, J.L., Ingvar, C., Janssen, M., Jenkins, M.A., Kanetsky, P.A., Kiemeney, L.A., Lang, J., Lathrop, G.M., Leachman, S., Lee, J.E., Lubiński, J., MacKie, R.M., Mann, G.J., Martin, N.G., Mayordomo, J.I., Molven, A., Mulder, S., Nagore, E., Novaković, S., Okamoto, I., Olafsson, J.H., Olsson, H., Pehamberger, H., Peris, K., Grasa, M.P., Planelles, D., Puig, S., Puig-Butille, J.A., Randerson-Moor, J., Requena, C., Rivoltini, L., Rodolfo, M., Santinami, M., Sigurgeirsson, B., Snowden, H., Song, F., Sulem, P., Thorisdottir, K., Tuominen, R., Van Belle, P., Van Der Stoep, N., Van Rossum, M.M., Wei, Q., Wendt, J., Zelenika, D., Zhang, M., Landi, M.T., Thorleifsson, G., Bishop, D.T., Amos, C.I., Hayward, N.K., Stefansson, K., Bishop, J.A.N., Barrett, J.H.",A variant in FTO shows association with melanoma risk not due to BMI,2013,Nature Genetics,428,432,28
"Kim, D.H., Grün, D., Van Oudenaarden, A.",Dampening of expression oscillations by synchronous regulation of a microRNA and its target,2013,Nature Genetics,1337,1345,28
"Weinhold, N., Johnson, D.C., Chubb, D., Chen, B., Försti, A., Hosking, F.J., Broderick, P., Ma, Y.P., Dobbins, S.E., Hose, D., Walker, B.A., Davies, F.E., Kaiser, M.F., Li, N.L., Gregory, W.A., Jackson, G.H., Witzens-Harig, M., Neben, K., Hoffmann, P., Nöthen, M.M., Mühleisen, T.W., Eisele, L., Ross, F.M., Jauch, A., Goldschmidt, H., Houlston, R.S., Morgan, G.J., Hemminki, K.",The CCND1 c.870G&gt;A polymorphism is a risk factor for t(11;14)(q13;q32) multiple myeloma,2013,Nature Genetics,522,525,28
"Shirangi, T.R., Taylor, B.J., McKeown, M.",A double-switch system regulates male courtship behavior in male and female Drosophila melanogaster,2006,Nature Genetics,1435,1439,29
"Musarò, M., Ciapponi, L., Fasulo, B., Gatti, M., Cenci, G.",Unprotected Drosophila melanogaster telomeres activate the spindle assembly checkpoint,2008,Nature Genetics,362,366,29
"Chan, M.M., Smith, Z.D., Egli, D., Regev, A., Meissner, A.",Mouse ooplasm confers context-specific reprogramming capacity,2012,Nature Genetics,978,980,29
"Justice, C.M., Yagnik, G., Kim, Y., Peter, I., Jabs, E.W., Erazo, M., Ye, X., Ainehsazan, E., Shi, L., Cunningham, M.L., Kimonis, V., Roscioli, T., Wall, S.A., Wilkie, A.O.M., Stoler, J., Richtsmeier, J.T., Heuzé, Y., Sanchez-Lara, P.A., Buckley, M.F., Druschel, C.M., Mills, J.L., Caggana, M., Romitti, P.A., Kay, D.M., Senders, C., Taub, P.J., Klein, O.D., Boggan, J., Zwienenberg-Lee, M., Naydenov, C., Kim, J., Wilson, A.F., Boyadjiev, S.A.",A genome-wide association study identifies susceptibility loci for nonsyndromic sagittal craniosynostosis near BMP2 and within BBS9,2012,Nature Genetics,1360,1364,29
"Hu, Z., Liu, Y., Zhai, X., Dai, J., Jin, G., Wang, L., Zhu, L., Yang, Y., Liu, J., Chu, M., Wen, J., Xie, K., Du, G., Wang, Q., Zhou, Y., Cao, M., Liu, L., He, Y., Wang, Y., Zhou, G., Jia, W., Lu, J., Li, S., Liu, J., Yang, H., Shi, Y., Zhou, W., Shen, H.",New loci associated with chronic hepatitis B virus infection in Han Chinese,2013,Nature Genetics,1499,1503,29
"Takahashi, C., Contreras, B., Iwanaga, T., Takegami, Y., Bakker, A., Bronson, R.T., Noda, M., Loda, M., Hunt, J.L., Ewen, M.E.",Nras loss induces metastatic conversion of Rb1-deficient neuroendocrine thyroid tumor,2006,Nature Genetics,118,123,30
"Sloan, J.L., Johnston, J.J., Manoli, I., Chandler, R.J., Krause, C., Carrillo-Carrasco, N., Chandrasekaran, S.D., Sysol, J.R., O'Brien, K., Hauser, N.S., Sapp, J.C., Dorward, H.M., Huizing, M., Barshop, B.A., Berry, S.A., James, P.M., Champaigne, N.L., De Lonlay, P., Valayannopoulos, V., Geschwind, M.D., Gavrilov, D.K., Nyhan, W.L., Biesecker, L.G., Venditti, C.P.",Exome sequencing identifies ACSF3 as a cause of combined malonic and methylmalonic aciduria,2011,Nature Genetics,883,886,30
"Ishii, T., Numaguchi, K., Miura, K., Yoshida, K., Thanh, P.T., Htun, T.M., Yamasaki, M., Komeda, N., Matsumoto, T., Terauchi, R., Ishikawa, R., Ashikari, M.",OsLG1 regulates a closed panicle trait in domesticated rice,2013,Nature Genetics,462,465,30
"Croker, B., Crozat, K., Berger, M., Xia, Y., Sovath, S., Schaffer, L., Eleftherianos, I., Imler, J.-L., Beutler, B.",ATP-sensitive potassium channels mediate survival during infection in mammals and insects,2007,Nature Genetics,1453,1460,31
"Gouagna, L.C., Bancone, G., Yao, F., Yameogo, B., Dabiré, K.R., Costantini, C., Simporé, J., Ouedraogo, J.B., Modiano, D.",Genetic variation in human HBB is associated with Plasmodium falciparum transmission,2010,Nature Genetics,328,331,31
"Kutter, C., Brown, G.D., Gonçalves, Å., Wilson, M.D., Watt, S., Brazma, A., White, R.J., Odom, D.T.",Pol III binding in six mammals shows conservation among amino acid isotypes despite divergence among tRNA genes,2011,Nature Genetics,948,957,31
"Shah, M.Y., Licht, J.D.",DNMT3A mutations in acute myeloid leukemia,2011,Nature Genetics,289,290,31
"Pirinen, M., Donnelly, P., Spencer, C.C.A.",Including known covariates can reduce power to detect genetic effects in case-control studies,2012,Nature Genetics,848,851,31
"Germain, M., Eyries, M., Montani, D., Poirier, O., Girerd, B., Dorfmüller, P., Coulet, F., Nadaud, S., Maugenre, S., Guignabert, C., Carpentier, W., Vonk-Noordegraaf, A., Lévy, M., Chaouat, A., Lambert, J.-C., Bertrand, M., Dupuy, A.-M., Letenneur, L., Lathrop, M., Amouyel, P., De Ravel, T.J., Delcroix, M., Austin, E.D., Robbins, I.M., Hemnes, A.R., Loyd, J.E., Berman-Rosenzweig, E., Barst, R.J., Chung, W.K., Simonneau, G., Trégouët, D.A., Humbert, M., Soubrier, F.",Genome-wide association analysis identifies a susceptibility locus for pulmonary arterial hypertension,2013,Nature Genetics,518,521,31
